Tarih;Saat;PTF;SMF;Pozitif Dengesizlik Fiyatý (TL/MWh);Negatif Dengesizlik Fiyatý (TL/MWh);SMF Yön
29.07.2025;01:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;02:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;03:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;04:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;05:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;06:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;07:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;08:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;09:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;10:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;11:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;12:00;3.250,01;3.400,00;3.152,51;3.502,00;Enerji Açýðý
29.07.2025;13:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;14:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;15:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;16:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;17:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;18:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;19:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;20:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;21:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;22:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
29.07.2025;23:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;00:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;01:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;02:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;03:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;04:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;05:00;3.354,29;3.400,00;3.253,66;3.502,00;Enerji Açýðý
30.07.2025;06:00;3.195,55;3.400,00;3.099,68;3.502,00;Enerji Açýðý
30.07.2025;07:00;3.067,11;3.400,00;2.975,10;3.502,00;Enerji Açýðý
30.07.2025;08:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;09:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;10:00;3.351,62;3.400,00;3.251,07;3.502,00;Enerji Açýðý
30.07.2025;11:00;3.348,48;3.400,00;3.248,03;3.502,00;Enerji Açýðý
30.07.2025;12:00;2.920,00;3.400,00;2.832,40;3.502,00;Enerji Açýðý
30.07.2025;13:00;3.275,01;3.400,00;3.176,76;3.502,00;Enerji Açýðý
30.07.2025;14:00;3.155,01;3.400,00;3.060,36;3.502,00;Enerji Açýðý
30.07.2025;15:00;3.348,39;3.400,00;3.247,94;3.502,00;Enerji Açýðý
30.07.2025;16:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;17:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;18:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;19:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;20:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;21:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;22:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
30.07.2025;23:00;3.400,00;3.100,00;3.007,00;3.502,00;Enerji Fazlasý
31.07.2025;00:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;01:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;02:00;3.400,00;2.297,00;2.228,09;3.502,00;Enerji Fazlasý
31.07.2025;03:00;3.198,01;2.297,00;2.228,09;3.293,95;Enerji Fazlasý
31.07.2025;04:00;2.800,00;2.297,00;2.228,09;2.884,00;Enerji Fazlasý
31.07.2025;05:00;3.194,00;2.297,00;2.228,09;3.289,82;Enerji Fazlasý
31.07.2025;06:00;2.970,01;1.923,00;1.865,31;3.059,11;Enerji Fazlasý
31.07.2025;07:00;2.800,00;3.118,88;2.716,00;3.212,45;Enerji Açýðý
31.07.2025;08:00;3.343,38;3.400,00;3.243,08;3.502,00;Enerji Açýðý
31.07.2025;09:00;3.320,00;3.400,00;3.220,40;3.502,00;Enerji Açýðý
31.07.2025;10:00;3.161,90;3.400,00;3.067,04;3.502,00;Enerji Açýðý
31.07.2025;11:00;3.001,01;3.400,00;2.910,98;3.502,00;Enerji Açýðý
31.07.2025;12:00;2.405,99;3.136,00;2.333,81;3.230,08;Enerji Açýðý
31.07.2025;13:00;3.050,00;3.398,00;2.958,50;3.499,94;Enerji Açýðý
31.07.2025;14:00;3.343,39;3.400,00;3.243,09;3.502,00;Enerji Açýðý
31.07.2025;15:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;16:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;17:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;18:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;19:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;20:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;21:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;22:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
31.07.2025;23:00;3.343,38;2.297,00;2.228,09;3.443,68;Enerji Fazlasý
1.08.2025;00:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
1.08.2025;01:00;3.339,81;3.400,00;3.239,62;3.502,00;Enerji Açýðý
1.08.2025;02:00;3.200,00;3.400,00;3.104,00;3.502,00;Enerji Açýðý
1.08.2025;03:00;3.300,00;3.399,00;3.201,00;3.500,97;Enerji Açýðý
1.08.2025;04:00;3.299,99;3.299,99;3.200,99;3.398,99;Enerji Açýðý
1.08.2025;05:00;3.049,00;2.297,00;2.228,09;3.140,47;Enerji Fazlasý
1.08.2025;06:00;2.750,00;3.398,00;2.667,50;3.499,94;Enerji Açýðý
1.08.2025;07:00;1.899,99;3.400,00;1.842,99;3.502,00;Enerji Açýðý
1.08.2025;08:00;3.129,99;3.400,00;3.036,09;3.502,00;Enerji Açýðý
1.08.2025;09:00;3.299,82;3.400,00;3.200,83;3.502,00;Enerji Açýðý
1.08.2025;10:00;3.137,41;3.400,00;3.043,29;3.502,00;Enerji Açýðý
1.08.2025;11:00;3.048,99;3.400,00;2.957,52;3.502,00;Enerji Açýðý
1.08.2025;12:00;1.750,00;650;630,5;1.802,50;Enerji Fazlasý
1.08.2025;13:00;2.401,00;400;388;2.473,03;Enerji Fazlasý
1.08.2025;14:00;2.968,01;2.297,00;2.228,09;3.057,05;Enerji Fazlasý
1.08.2025;15:00;3.000,00;2.161,00;2.096,17;3.090,00;Enerji Fazlasý
1.08.2025;16:00;3.155,01;3.175,00;3.060,36;3.270,25;Enerji Açýðý
1.08.2025;17:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
1.08.2025;18:00;3.348,38;2.103,00;2.039,91;3.448,83;Enerji Fazlasý
1.08.2025;19:00;3.399,00;2.297,00;2.228,09;3.500,97;Enerji Fazlasý
1.08.2025;20:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
1.08.2025;21:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
1.08.2025;22:00;3.348,38;2.105,00;2.041,85;3.448,83;Enerji Fazlasý
1.08.2025;23:00;3.193,63;1.750,00;1.697,50;3.289,44;Enerji Fazlasý
2.08.2025;00:00;3.359,99;2.859,99;2.774,19;3.460,79;Enerji Fazlasý
2.08.2025;01:00;3.200,00;2.800,00;2.716,00;3.296,00;Enerji Fazlasý
2.08.2025;02:00;3.044,44;3.044,44;2.953,11;3.135,77;Enerji Açýðý
2.08.2025;03:00;3.118,74;2.618,74;2.540,18;3.212,30;Enerji Fazlasý
2.08.2025;04:00;3.000,00;3.118,88;2.910,00;3.212,45;Enerji Açýðý
2.08.2025;05:00;2.600,00;3.399,00;2.522,00;3.500,97;Enerji Açýðý
2.08.2025;06:00;2.938,68;3.290,58;2.850,52;3.389,30;Enerji Açýðý
2.08.2025;07:00;2.490,01;3.118,88;2.415,31;3.212,45;Enerji Açýðý
2.08.2025;08:00;2.964,00;3.400,00;2.875,08;3.502,00;Enerji Açýðý
2.08.2025;09:00;3.000,01;3.400,00;2.910,01;3.502,00;Enerji Açýðý
2.08.2025;10:00;2.819,99;3.400,00;2.735,39;3.502,00;Enerji Açýðý
2.08.2025;11:00;2.618,01;3.400,00;2.539,47;3.502,00;Enerji Açýðý
2.08.2025;12:00;2.138,01;3.400,00;2.073,87;3.502,00;Enerji Açýðý
2.08.2025;13:00;2.900,01;3.400,00;2.813,01;3.502,00;Enerji Açýðý
2.08.2025;14:00;2.819,99;2.867,99;2.735,39;2.954,03;Enerji Açýðý
2.08.2025;15:00;2.620,00;3.118,88;2.541,40;3.212,45;Enerji Açýðý
2.08.2025;16:00;3.044,45;3.175,00;2.953,12;3.270,25;Enerji Açýðý
2.08.2025;17:00;3.000,00;3.118,88;2.910,00;3.212,45;Enerji Açýðý
2.08.2025;18:00;3.247,05;3.400,00;3.149,64;3.502,00;Enerji Açýðý
2.08.2025;19:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
2.08.2025;20:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
2.08.2025;21:00;3.399,82;3.400,00;3.297,83;3.502,00;Enerji Açýðý
2.08.2025;22:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
2.08.2025;23:00;3.303,00;3.400,00;3.203,91;3.502,00;Enerji Açýðý
3.08.2025;00:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
3.08.2025;01:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
3.08.2025;02:00;3.359,99;3.400,00;3.259,19;3.502,00;Enerji Açýðý
3.08.2025;03:00;3.349,98;3.382,56;3.249,48;3.484,04;Enerji Açýðý
3.08.2025;04:00;3.298,00;3.330,58;3.199,06;3.430,50;Enerji Açýðý
3.08.2025;05:00;3.299,99;3.330,87;3.200,99;3.430,80;Enerji Açýðý
3.08.2025;06:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
3.08.2025;07:00;2.899,20;2.151,00;2.086,47;2.986,18;Enerji Fazlasý
3.08.2025;08:00;2.659,99;2.948,19;2.580,19;3.036,64;Enerji Açýðý
3.08.2025;09:00;1.726,00;520;504,4;1.777,78;Enerji Fazlasý
3.08.2025;10:00;1.512,64;400;388;1.558,02;Enerji Fazlasý
3.08.2025;11:00;1.400,00;520;504,4;1.442,00;Enerji Fazlasý
3.08.2025;12:00;1.395,89;650;630,5;1.437,77;Enerji Fazlasý
3.08.2025;13:00;1.899,99;2.948,19;1.842,99;3.036,64;Enerji Açýðý
3.08.2025;14:00;1.724,98;2.948,19;1.673,23;3.036,64;Enerji Açýðý
3.08.2025;15:00;1.724,99;2.948,19;1.673,24;3.036,64;Enerji Açýðý
3.08.2025;16:00;2.941,90;2.971,09;2.853,64;3.060,22;Enerji Açýðý
3.08.2025;17:00;3.005,00;2.297,00;2.228,09;3.095,15;Enerji Fazlasý
3.08.2025;18:00;2.800,00;3.118,88;2.716,00;3.212,45;Enerji Açýðý
3.08.2025;19:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
3.08.2025;20:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
3.08.2025;21:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
3.08.2025;22:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
3.08.2025;23:00;3.359,99;3.400,00;3.259,19;3.502,00;Enerji Açýðý
4.08.2025;00:00;3.349,98;3.400,00;3.249,48;3.502,00;Enerji Açýðý
4.08.2025;01:00;3.337,99;3.380,00;3.237,85;3.481,40;Enerji Açýðý
4.08.2025;02:00;3.300,00;3.380,00;3.201,00;3.481,40;Enerji Açýðý
4.08.2025;03:00;3.348,47;3.394,00;3.248,02;3.495,82;Enerji Açýðý
4.08.2025;04:00;3.288,89;2.297,00;2.228,09;3.387,56;Enerji Fazlasý
4.08.2025;05:00;3.073,69;2.079,00;2.016,63;3.165,90;Enerji Fazlasý
4.08.2025;06:00;3.049,99;3.049,99;2.958,49;3.141,49;Enerji Açýðý
4.08.2025;07:00;2.841,20;1.744,00;1.691,68;2.926,44;Enerji Fazlasý
4.08.2025;08:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
4.08.2025;09:00;3.359,99;3.400,00;3.259,19;3.502,00;Enerji Açýðý
4.08.2025;10:00;3.290,00;3.400,00;3.191,30;3.502,00;Enerji Açýðý
4.08.2025;11:00;3.000,00;2.297,00;2.228,09;3.090,00;Enerji Fazlasý
4.08.2025;12:00;2.538,38;520;504,4;2.614,53;Enerji Fazlasý
4.08.2025;13:00;2.944,00;1.744,00;1.691,68;3.032,32;Enerji Fazlasý
4.08.2025;14:00;3.307,00;3.400,00;3.207,79;3.502,00;Enerji Açýðý
4.08.2025;15:00;2.538,39;3.400,00;2.462,24;3.502,00;Enerji Açýðý
4.08.2025;16:00;3.199,89;3.394,00;3.103,89;3.495,82;Enerji Açýðý
4.08.2025;17:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
4.08.2025;18:00;3.399,00;3.399,00;3.297,03;3.500,97;Enerji Açýðý
4.08.2025;19:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
4.08.2025;20:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
4.08.2025;21:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
4.08.2025;22:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
4.08.2025;23:00;3.348,48;3.400,00;3.248,03;3.502,00;Enerji Açýðý
5.08.2025;00:00;3.398,01;3.400,00;3.296,07;3.502,00;Enerji Açýðý
5.08.2025;01:00;3.358,07;3.400,00;3.257,33;3.502,00;Enerji Açýðý
5.08.2025;02:00;3.255,41;3.400,00;3.157,75;3.502,00;Enerji Açýðý
5.08.2025;03:00;3.358,07;3.000,00;2.910,00;3.458,81;Enerji Fazlasý
5.08.2025;04:00;3.343,57;2.297,00;2.228,09;3.443,88;Enerji Fazlasý
5.08.2025;05:00;3.300,00;2.297,00;2.228,09;3.399,00;Enerji Fazlasý
5.08.2025;06:00;2.970,01;2.297,00;2.228,09;3.059,11;Enerji Fazlasý
5.08.2025;07:00;2.852,69;1.744,00;1.691,68;2.938,27;Enerji Fazlasý
5.08.2025;08:00;3.358,07;2.297,00;2.228,09;3.458,81;Enerji Fazlasý
5.08.2025;09:00;3.358,07;2.958,07;2.869,33;3.458,81;Enerji Fazlasý
5.08.2025;10:00;2.958,00;1.744,00;1.691,68;3.046,74;Enerji Fazlasý
5.08.2025;11:00;2.798,00;2.297,00;2.228,09;2.881,94;Enerji Fazlasý
5.08.2025;12:00;2.125,00;650;630,5;2.188,75;Enerji Fazlasý
5.08.2025;13:00;2.997,00;2.997,00;2.907,09;3.086,91;Enerji Açýðý
5.08.2025;14:00;2.527,00;3.290,58;2.451,19;3.389,30;Enerji Açýðý
5.08.2025;15:00;3.100,01;3.400,00;3.007,01;3.502,00;Enerji Açýðý
5.08.2025;16:00;2.999,99;3.400,00;2.909,99;3.502,00;Enerji Açýðý
5.08.2025;17:00;3.358,08;3.400,00;3.257,34;3.502,00;Enerji Açýðý
5.08.2025;18:00;3.358,07;3.400,00;3.257,33;3.502,00;Enerji Açýðý
5.08.2025;19:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
5.08.2025;20:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
5.08.2025;21:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
5.08.2025;22:00;3.358,08;3.400,00;3.257,34;3.502,00;Enerji Açýðý
5.08.2025;23:00;3.200,01;3.400,00;3.104,01;3.502,00;Enerji Açýðý
6.08.2025;00:00;3.399,01;3.400,00;3.297,04;3.502,00;Enerji Açýðý
6.08.2025;01:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
6.08.2025;02:00;3.300,00;3.400,00;3.201,00;3.502,00;Enerji Açýðý
6.08.2025;03:00;3.259,59;3.400,00;3.161,80;3.502,00;Enerji Açýðý
6.08.2025;04:00;2.901,00;3.290,58;2.813,97;3.389,30;Enerji Açýðý
6.08.2025;05:00;2.864,01;3.351,14;2.778,09;3.451,67;Enerji Açýðý
6.08.2025;06:00;2.880,63;3.000,00;2.794,21;3.090,00;Enerji Açýðý
6.08.2025;07:00;2.249,99;3.400,00;2.182,49;3.502,00;Enerji Açýðý
6.08.2025;08:00;3.290,00;3.400,00;3.191,30;3.502,00;Enerji Açýðý
6.08.2025;09:00;3.300,01;3.400,00;3.201,01;3.502,00;Enerji Açýðý
6.08.2025;10:00;2.400,00;3.400,00;2.328,00;3.502,00;Enerji Açýðý
6.08.2025;11:00;2.843,00;3.400,00;2.757,71;3.502,00;Enerji Açýðý
6.08.2025;12:00;2.600,00;3.400,00;2.522,00;3.502,00;Enerji Açýðý
6.08.2025;13:00;2.792,99;3.400,00;2.709,20;3.502,00;Enerji Açýðý
6.08.2025;14:00;3.280,00;3.400,00;3.181,60;3.502,00;Enerji Açýðý
6.08.2025;15:00;3.333,01;3.400,00;3.233,02;3.502,00;Enerji Açýðý
6.08.2025;16:00;3.094,01;3.400,00;3.001,19;3.502,00;Enerji Açýðý
6.08.2025;17:00;3.359,99;3.392,57;3.259,19;3.494,35;Enerji Açýðý
6.08.2025;18:00;3.349,98;3.382,56;3.249,48;3.484,04;Enerji Açýðý
6.08.2025;19:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
6.08.2025;20:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
6.08.2025;21:00;3.356,08;3.388,66;3.255,40;3.490,32;Enerji Açýðý
6.08.2025;22:00;2.985,00;3.400,00;2.895,45;3.502,00;Enerji Açýðý
6.08.2025;23:00;2.947,50;3.400,00;2.859,08;3.502,00;Enerji Açýðý
7.08.2025;00:00;3.398,99;3.400,00;3.297,02;3.502,00;Enerji Açýðý
7.08.2025;01:00;3.349,07;3.400,00;3.248,60;3.502,00;Enerji Açýðý
7.08.2025;02:00;3.118,00;3.118,00;3.024,46;3.211,54;Enerji Açýðý
7.08.2025;03:00;3.349,98;2.299,00;2.230,03;3.450,48;Enerji Fazlasý
7.08.2025;04:00;3.130,00;2.320,00;2.250,40;3.223,90;Enerji Fazlasý
7.08.2025;05:00;2.790,00;2.299,00;2.230,03;2.873,70;Enerji Fazlasý
7.08.2025;06:00;2.400,00;3.000,00;2.328,00;3.090,00;Enerji Açýðý
7.08.2025;07:00;2.659,99;3.118,88;2.580,19;3.212,45;Enerji Açýðý
7.08.2025;08:00;3.249,90;2.199,00;2.133,03;3.347,40;Enerji Fazlasý
7.08.2025;09:00;3.129,99;3.290,58;3.036,09;3.389,30;Enerji Açýðý
7.08.2025;10:00;2.894,00;3.118,88;2.807,18;3.212,45;Enerji Açýðý
